p1x,p1y,p1sx,p1sy,p1a,p1wx,p1wy,tf1,pf1,p2x,p2y,p2sx,p2sy,p2a,p2wx,p2wy,tf2,pf2,p3x,p3y,p3sx,p3sy,p3a,p3wx,p3wy,tf3,pf3,p4x,p4y,p4sx,p4sy,p4a,p4wx,p4wy,tf4,pf4,p1tx,p1ty,p1t,p2tx,p2ty,p2t
8129,5520,-331,495,2.329326841065011,7668,5952,0,0,5391,7253,-494,358,3.514656159961574,3114,7545,0,0,1585,5849,114,-396,-0.4188849788981339,9525,4379,1,1,9253,5388,-78,-21,-2.164210099920109,14527,7778,1,0,101037,-4603,200,-69548,-56178,0
7624,6113,-429,504,2.6269141194485592,3114,7545,0,0,4784,7518,-515,225,3.8288154253205535,3114,7545,0,0,1898,5432,265,-354,-0.10472571353915461,9525,4379,1,1,9175,5367,-66,-17,-2.478368236438855,14527,7778,1,0,99712,26223,200,-46744,-77536,0
6999,6657,-531,462,2.9410733848075385,3114,7545,0,0,4161,7575,-529,48,4.142974690679533,3114,7545,0,0,2359,5120,391,-265,0.2094335518198247,9525,4379,1,1,9109,5350,-56,-14,-2.164210099920109,14527,7778,1,0,101811,-5332,200,-46810,-77553,0
6269,7096,-620,373,3.255232650166518,3114,7545,0,0,3623,7587,-457,10,4.457133956038512,9525,4379,0,0,2949,4834,501,-243,-0.10471153631184203,9525,4379,1,1,9053,5336,-47,-11,-2.164210099920109,14527,7778,1,0,100763,25625,200,-18510,-90790,0
5649,7469,-527,317,3.569391915525497,3114,7545,0,0,3178,7397,-378,-161,4.7712932213974915,9525,4379,0,0,3646,4633,592,-171,0.209439436650829,9525,4379,1,1,9006,5325,-39,-9,-1.8500508345611295,14527,7778,1,0,101460,25424,200,-46913,-77578,0
5018,7691,-536,188,3.8835511808844765,3114,7545,0,0,2873,7050,-259,-295,5.085452486756471,9525,4379,0,0,4434,4504,669,-110,0.209439436650829,9525,4379,1,1,8967,5316,-33,-7,-2.164210099920109,14527,7778,1,0,102248,25295,200,-69834,-56250,200
4384,7705,-539,11,4.197710446243455,3114,7545,0,0,2741,6600,-112,-382,5.39961175211545,9525,4379,0,0,5299,4436,734,-58,0.209439436650829,9525,4379,1,1,8776,5186,-162,-110,-2.478368236438855,14527,7778,1,0,91901,54435,0,-85193,-29015,0
3826,7622,-474,-70,4.511869711602435,3114,7545,0,0,2797,6110,47,-416,5.713771017474429,9525,4379,0,0,6033,4378,623,-49,0.523592817178804,9525,4379,1,1,8614,5076,-137,-93,-2.792527501797834,14527,7778,1,0,103847,25169,0,-70187,-56490,0
3375,7353,-383,-228,4.826028976961414,9525,4379,0,0,3038,5644,204,-396,6.027930282833409,9525,4379,0,0,6656,4329,529,-41,0.209439436650829,9525,4379,1,1,8477,4983,-116,-79,-2.478368236438855,14527,7778,1,0,104470,25120,200,-47442,-77920,0
3075,6943,-255,-348,5.140188242320393,9525,4379,0,0,3442,5260,343,-326,6.342089548192388,9525,4379,0,0,7381,4330,615,0,0.209439436650829,9525,4379,1,1,8361,4904,-98,-67,-2.164210099920109,14527,7778,1,0,93983,54329,0,-47558,-77999,0
2955,6448,-101,-421,5.454347507679373,9525,4379,0,0,3985,4942,461,-270,0.03901922471681948,9525,4379,0,0,7802,4154,162,-327,0.523592817178804,9525,4379,1,1,8457,5013,277,270,-2.164210099920109,14527,7778,1,0,74715,78468,200,-47462,-77890,200
3028,5929,62,-441,5.768506773038352,9525,4379,0,0,4646,4683,561,-220,0.05499953095658483,9525,4379,0,0,8098,3976,251,-151,0.8377520825377833,9525,4379,1,1,8622,5117,140,88,-2.164210099920109,14527,7778,1,0,75011,78290,200,-70179,-56449,200
3286,5448,219,-408,6.082666038397331,9525,4379,0,0,5406,4479,646,-173,0.07807567149583494,9525,4379,0,0,8483,3974,327,-2,0.8377552626840211,9525,4379,1,1,8604,5082,-14,-29,-2.478368236438855,14527,7778,1,0,75396,78288,200,-70197,-56484,200
3704,5063,355,-327,6.3968253037563105,9525,4379,0,0,6251,4323,718,-132,0.08613175296182057,9525,4379,0,0,8944,4121,391,124,0.8377552626840211,9525,4379,1,1,8432,4930,-145,-129,-2.478368236438855,14527,7778,1,0,95546,54120,200,-47487,-77973,200
4258,4759,470,-258,0.11728402940293062,9525,4379,0,0,7151,4149,765,-148,-0.22802751239715874,9525,4379,0,0,9508,4345,479,190,0.5235959973250418,14527,7778,1,1,8175,4635,-218,-250,-2.164210099920109,14527,7778,1,0,76421,78659,200,-70626,-56931,0
4927,4523,568,-200,0.10922155126021735,9525,4379,0,0,7833,3945,538,-201,0.08613175296182057,9525,4379,0,0,10121,4684,520,287,0.8377552626840211,14527,7778,1,1,8786,4946,929,542,-2.478368236438855,14527,7778,1,0,77034,78998,200,-85183,-29255,0
5690,4367,648,-132,0.2207292335681896,9525,4379,0,0,8371,3744,457,-170,0.4002910183207999,9525,4379,0,0,10775,5120,555,370,0.8377552626840211,14527,7778,1,1,9715,5488,789,460,-2.792527501797834,14527,7778,1,0,97377,55119,200,-90224,1998,0
6531,4287,715,-68,0.26098893985333,9525,4379,0,0,8828,3574,388,-144,0.7144502836797793,9525,4379,0,0,11503,5590,618,399,0.5235959973250418,14527,7778,1,1,10504,5948,670,391,-3.1066855366960224,14527,7778,1,0,78416,79904,200,-85622,33511,0
7427,4305,761,15,0.4444192099010989,9525,4379,0,0,9216,3430,329,-122,1.0286095490387586,9525,4379,0,0,12255,6138,639,465,0.8377552626840211,14527,7778,1,1,11174,6339,569,332,2.862346576696024,14527,7778,1,0,98857,56137,200,-88765,2849,0
8386,4346,815,34,0.1302599445421196,9525,4379,0,0,9564,3389,295,-34,1.3427688143977379,9525,4379,0,0,13067,6703,690,480,0.5235959973250418,14527,7778,1,1,11743,6671,483,282,-3.1066855366960224,14527,7778,1,0,79980,81017,0,-82226,-27530,200
9382,4466,846,101,0.4444192099010989,14527,7778,0,0,9848,3483,241,79,1.6569280797567172,9525,4379,0,0,13757,7183,586,408,0.8377552626840211,14527,7778,1,1,12038,6885,250,181,-2.7925354384888603,14527,7778,1,0,100359,57182,0,-66763,-54681,0
10383,4694,850,193,0.6855184068351137,14527,7778,0,0,10050,3655,171,146,1.9710873451156965,9525,4379,0,0,14343,7591,498,346,0.5235959973250418,6321,4317,1,1,12288,7066,212,153,-2.478376173129881,14527,7778,1,0,112157,28382,0,-43631,-75837,0
11353,5047,824,299,0.9250961011948202,14527,7778,0,0,10144,3889,80,199,2.285246610474676,9525,4379,0,0,14841,7937,423,294,0.209439436650829,6321,4317,1,1,12500,7219,180,130,-2.1642169077709017,14527,7778,1,0,114293,-2515,0,-15063,-88907,200
13035,5663,694,-579,1.453512297391966,14527,7778,0,0,10063,4395,-31,197,2.285246610474676,14527,7778,0,0,15806,8399,460,142,-0.41887080167082136,6321,4317,1,1,12739,6940,76,503,-1.5358992038207826,14527,7778,1,0,90120,-58514,0,46940,-87029,200
13754,5282,611,-323,1.4454488998733006,14527,7778,0,0,10032,4592,-26,167,1.9710873451156967,14527,7778,0,0,16266,8541,391,120,-0.7330300670298007,6321,4317,1,1,12883,7255,122,267,-1.2217399384618033,14527,7778,1,0,66265,-78061,0,74449,-71546,200
14376,5159,528,-104,1.5157967958383118,14527,7778,0,0,10006,4759,-22,141,1.6569280797567174,14527,7778,0,0,16657,8661,332,102,-1.04718933238878,6321,4317,1,1,13128,7364,208,92,-0.907580673102824,14527,7778,1,0,37448,-89153,0,96031,-48555,0
14888,5254,435,81,1.6488719982907316,14527,7778,0,0,9984,4900,-18,119,1.342768814397738,14527,7778,0,0,16989,8763,282,86,-1.3613485977477593,6321,4317,1,1,13336,7456,176,78,-0.5934214077438447,14527,7778,1,0,6536,-90689,200,96239,-48463,200
15254,5523,311,228,1.9219594659270078,14527,7778,0,0,10062,5179,66,237,1.0286095490387588,14527,7778,0,0,17250,8650,221,-95,-1.6755078631067386,6321,4317,1,1,13678,7422,290,-28,-0.5934137731252123,14527,7778,1,0,-23423,-82704,200,109804,-20141,200
15443,5910,160,328,2.225699221938388,14527,7778,0,0,10190,5470,108,247,0.7144502836797795,14527,7778,0,0,17390,8372,118,-236,-1.989667128465718,6321,4317,1,1,14160,7339,409,-70,-0.27925450776623295,6321,4317,1,0,-49523,-65942,0,97063,-48580,0
15574,6755,389,76,2.3180235064440153,14527,7778,0,0,10910,6080,372,245,0.08613175296182085,14527,7778,0,0,17608,7936,85,-170,-2.6179856591836765,6321,4317,1,1,14849,7260,-70,222,-0.27925450776623295,6321,4317,1,0,-49305,-66378,0,114788,10749,0
15963,6831,330,64,2.5347191291584674,14527,7778,0,0,11482,6325,486,208,0.0,14527,7778,0,0,17693,7766,72,-144,-2.3038373909057723,6321,4317,1,1,14779,7482,-59,188,0.034897122974114125,6321,4317,1,0,-22980,-83588,200,114718,10971,0
16293,6895,280,54,2.662286369262252,14527,7778,0,0,12158,6595,574,229,0.3141592653589793,14527,7778,0,0,17684,7439,-7,-277,-1.989678125546793,6321,4317,1,1,14720,7670,-50,159,0.034897122974114125,6321,4317,1,0,-22989,-83915,200,110846,-19893,0
16573,6949,238,45,2.7571865747975437,14527,7778,0,0,12732,6824,487,194,0.6283185307179586,14527,7778,0,0,17596,6979,-75,-390,-1.9896714983154544,6321,4317,1,1,14670,7829,-42,135,-0.2792460768937691,6321,4317,1,0,-49317,-67335,200,114609,11318,200
16622,7058,41,92,2.815729499791633,14527,7778,0,0,13219,7018,413,164,0.9424777960769379,14527,7778,0,0,17387,6440,-177,-457,-2.3038307636744335,6321,4317,1,1,14828,7971,134,120,0.034897122974114125,6321,4317,1,0,-69215,-43559,200,108797,42173,0
16472,7208,-127,127,2.8483154146344694,14527,7778,0,0,13632,7182,351,139,1.2566370614359172,14527,7778,0,0,17037,5883,-297,-473,-2.617990029033413,6321,4317,1,1,14962,8091,113,102,0.34905638833309344,6321,4317,1,0,-80777,-14908,200,93763,69657,0
16150,7380,-273,146,2.912620384690746,14527,7778,0,0,13983,7321,298,118,1.5707963267948966,14527,7778,0,0,16544,5368,-418,-437,-2.932149294392392,6321,4317,1,1,15075,8193,96,86,0.6632156536920728,6321,4317,1,0,-82908,15820,200,70994,91096,0
15093,7540,-497,26,3.5409389154087045,14527,7778,1,0,14342,7930,86,311,2.199114857512855,6321,4317,1,1,15204,4620,-614,-282,3.036881117277951,6321,4317,0,0,15252,8352,68,62,0.9773825536696844,6321,4317,0,0,-76150,45293,200,42815,104478,0
14561,7387,-425,-149,-2.7989722643981922,6321,4317,0,0,14112,8470,-221,478,2.5132741228718345,6321,4317,0,0,14407,4419,-677,-170,2.7227218519189718,6321,4317,1,1,15320,8414,57,52,1.2915418190286636,6321,4317,1,0,-76947,45092,200,11830,108353,0
13937,7219,-530,-142,-3.0474938659181503,6321,4317,0,0,13832,8967,-237,422,2.827433388230814,6321,4317,0,0,13547,4330,-730,-75,2.7227174820692355,6321,4317,1,1,15377,8466,48,44,1.605701084387643,6321,4317,1,0,-85905,14782,200,-18824,102435,0
13208,7057,-619,-138,-3.039436938976235,6321,4317,0,0,13398,9389,-368,358,3.141592653589793,6321,4317,0,0,12618,4276,-789,-45,3.036876747428215,6321,4317,1,1,15425,8510,40,37,1.9198535418958296,6321,4317,1,0,-78736,44949,200,-46141,87311,0
12391,6889,-694,-142,-2.9930488293841955,6321,4317,0,0,12840,9685,-474,251,3.4557519189487724,6321,4317,0,0,11646,4312,-825,30,2.7227174820692355,6321,4317,1,1,15465,8547,34,31,2.2340128072548087,6321,4317,1,0,-87806,14764,200,-67438,64466,0
11509,6678,-749,-179,-2.7904295144576823,6321,4317,0,0,12204,9818,-540,113,3.7699111843077517,6321,4317,0,0,10622,4363,-870,43,3.036876747428215,6321,4317,1,1,15499,8578,28,26,2.548172072613788,6321,4317,1,0,-87192,-16428,200,-80627,36141,200
10586,6401,-784,-235,-2.6269141194485592,6321,4317,0,0,11546,9769,-558,-41,4.084070449666731,6321,4317,0,0,9556,4364,-905,1,-2.932153216938964,6321,4317,1,1,15335,8659,-139,68,2.8623313379727673,6321,4317,1,0,-77046,-45635,0,-84604,5169,200
9646,6041,-799,-305,-2.4666955833425286,6321,4317,0,0,10874,9564,-571,-174,-2.1776698512262227,6321,4317,0,0,8651,4365,-769,0,-2.617999836410989,6321,4317,1,1,14996,8720,-288,51,3.1764906033317466,6321,4317,1,0,-58262,-69949,0,-78973,-25481,200
8847,5736,-679,-259,-2.1525363179835493,6321,4317,0,0,10191,9225,-580,-288,-2.16767525754846,6321,4317,0,0,7882,4365,-653,0,-2.30384057105201,6321,4317,1,1,14520,8703,-404,-14,3.490649868690726,6321,4317,1,0,-32791,-86989,0,-64281,-52863,200
8119,5298,-618,-372,-1.83837705262457,6321,4317,0,0,9511,8764,-578,-392,-2.094407804564866,6321,4317,0,0,7229,4365,-555,0,-1.9896813056930305,6321,4317,1,1,13958,8566,-477,-116,3.804809134049705,6321,4317,1,0,-3223,-95087,200,-41961,-74337,200
7011,4193,-424,-452,-1.2100585219066113,6321,4317,0,0,8237,7509,-523,-578,-1.8640735657502203,6321,4317,0,0,6164,3997,-415,-143,-1.3613627749750719,7819,839,1,1,12757,7879,-520,-344,-2.164210099920109,6321,4317,1,0,56163,-82605,0,-43162,-75024,200
6587,3741,-360,-384,-0.895899256547632,7819,839,1,1,7683,6733,-471,-659,-1.727398203776912,6321,4317,1,0,5749,3854,-352,-121,-1.0472035096160925,7819,839,0,0,12125,7369,-537,-433,-2.164210099920109,6321,4317,0,0,80063,-63059,0,-15438,-88757,0
6340,3192,-210,-466,-0.973090673181901,7819,839,1,1,7240,5876,-376,-728,-1.4293235403027391,6321,4317,1,0,5397,3733,-299,-102,-0.7330442442571132,7819,839,0,0,11588,6936,-456,-368,-1.8500508345611295,6321,4317,0,0,55396,-82869,200,-15975,-89190,0
